F,,,,,DENIED,,,,Aprobación Final / Final approval,
,,,,,SUSPENDED,,,       ANTI-CHEAT,,
,,,,,OBSERVATION,,, DESKTOP RECORD,,
,,,,,OK,,, WEBCAM RECORD,,
,,,,,,,,,,
,Team name,Nickname/pf steam,Steam64 ID/ ban list,l4d2center linkview,Status,VIO,Region,Anticheat/Record,Pepinis,MK
,,505,76561199696059140,X,OK,,,       ANTI-CHEAT,,
,,Cfg,76561199163428264,X,OK,,,       ANTI-CHEAT,,
,,niF,76561199467582738,Not found,OK,,,       ANTI-CHEAT,,
,,Assachin,76561199479095098,X,OK,,,       ANTI-CHEAT,,
,,,,,,,,,,
,Paper Rex,乙єℜȭ,76561199087031900,X,OK,,SA,       ANTI-CHEAT,,
,,xr4yz,76561198807915483,X,OK,,,       ANTI-CHEAT,,
,,Aomine^,76561199438698541,X,OK,,,       ANTI-CHEAT,,
,,Cafe Cafe ,76561198813310957,X,OK,,,       ANTI-CHEAT,,
,,ZTX,76561199134635104,X,OK,,,       ANTI-CHEAT,,
,,,,,,,,       ANTI-CHEAT,,
,,,,,,,,,,
,OSADIA,LusbelX,76561199384999164,X,OK,,SA,       ANTI-CHEAT,,
,,Male,76561199096228634,X,OK,,,       ANTI-CHEAT,,
,,Sean,76561198348302783,X,OK,,,       ANTI-CHEAT,,
,,Dnat,76561199087952132,X,OK,,,       ANTI-CHEAT,,
,,,,,,,,,,
,,r7yan,76561199102594038,X,OK,,,       ANTI-CHEAT,,
,,,,,,,,,,
,:B1:,Wrugb,76561198047843599,X,OK,,EU, DESKTOP RECORD,,
,,Shommi,76561198018967533,X,OK,,,       ANTI-CHEAT,,
,,Koz,76561198045095735,X,OK,,,       ANTI-CHEAT,,
,,David,76561198054323661,X,OK,,,       ANTI-CHEAT,,
,,:),76561198019311125,X,OK,,, DESKTOP RECORD,,
,,,,,OK,,,,,
,,,,,,,,,,
,No Hacen Nada,Azunix,76561198805147561,X,OK,,SA/EU,       ANTI-CHEAT,,
,,Karameleo,76561199074165502,X,OK,,,       ANTI-CHEAT,,
,,Whaads,76561199232619749,X,OK,,,       ANTI-CHEAT,,
,,Skips,76561199066848962,X,OK,,,       ANTI-CHEAT,,
,,Kyo,76561199696059140,X,OK,,,       ANTI-CHEAT,,
,,KissShot,76561199492165183,X,OK,,,       ANTI-CHEAT,,
,,,,,,,,,,
,Not Yet,LAROI^,76561199429491799,X,OK,,NA/SA,,,
,,Ahmad,76561199522958862,X,OK,,,,,
,,Lyrical,76561198200048615,X,OK,,,,,
,,Nova,76561199779775731,X,OK,,,,,
,,Portamento,76561199267910991,Not found,OK,,,,,
,,Harry,76561199352239326,X,DENIED,,,,,
,,,,,,,,,,
,Xoanon,Jerydash ,76561199114796576,X,OK,,EU,       ANTI/Desktop,,
,,Benjy,76561199092429859,X,OK,,,       ANTI-CHEAT,,
,,Zeus/Pepper,76561198183573759,X,OK,,,       ANTI-CHEAT,,
,,Yum,76561198034266270,X,OK,,,       ANTI-CHEAT,,
,,Honey,76561198038478485,X,OK,,,       ANTI-CHEAT,,
,,baQ*,76561198353177863,X,OK,,,       ANTI-CHEAT,,
,,,,,,,,,,
,YATAGARASU,JaZe,76561199058657112,X,OK,,NA/SA,       ANTI-CHEAT,,
,,Spearz,76561199436349714,X,OK,,,       ANTI-CHEAT,,
,,asLe,76561198983695276,X,OK,,,       ANTI-CHEAT,,
,,Kanon,76561198780592338,X,OK,,,       ANTI-CHEAT,,
,,Astoris,76561199048669676,X,OK,,,       ANTI-CHEAT,,
,,,,,,,,       ANTI-CHEAT,,
,,,,,,,,,,
,THE PHENOMENALIST ,ANXIETYGOD ,76561199177245365,X,OK,,SA/EU,       ANTI-CHEAT,,
,,tetsu ,76561198008763128,X,OK,,,       ANTI-CHEAT,,
,,keisha ,76561198031526178,X,OK,,,       ANTI-CHEAT,,
,,snow ,76561198201920788,X,OK,,,       ANTI-CHEAT,,
,,Siub,76561198021232333,X,OK,,,       ANTI-CHEAT,,
,,,,,,,,       ANTI-CHEAT,,
,,,,,,,,,,
,r4w,Jxnc,76561199079783932,X,OK,,SA,       ANTI-CHEAT,,
,,Waled,76561199121159583,X,OK,,,       ANTI-CHEAT,,
,,SLay,76561198005823582,X,OK,,,       ANTI-CHEAT,,
